VideoTitle,VideoDate,nLikes,nComments,nViews,Duration(seconds),VideoAge(Days),Like/ViewsRatio,Comments/ViewsRatio
Flat Earth PROVEN By Independent Research,2018-09-22T20:05:01Z,794436,133261,28801193,712,2615,0.028,0.0046
Things That SHOULDN'T Be Sold On Amazon,2018-09-21T22:06:01Z,2302961,55690,152557598,846,2616,0.015,0.0004
"Surprising My 8,000,000th Subscriber With 8,000,000 ___",2018-09-19T20:05:01Z,584952,18328,37405372,1132,2618,0.016,0.0005
"I Donated $25,000 To Random Kids Streaming Fortnite",2018-09-14T20:09:01Z,1317994,39268,65739227,1057,2623,0.02,0.0006
I Hope This Magic Trick Works,2018-09-11T21:13:59Z,717339,18823,43678186,982,2626,0.016,0.0004
Can A Glowing 1000 Degree Sword Slice A Car In Half?,2018-09-06T21:09:00Z,1140056,37684,70011886,598,2631,0.016,0.0005
Rocket League In Real Life!,2018-09-01T21:08:58Z,541133,16136,28817014,775,2636,0.019,0.0006
Destroying My Friend's Car And Surprising Him With A New One - Slime,2018-08-28T22:08:59Z,2493088,66949,121627979,971,2640,0.02,0.0006
Spending 24 Hours Straight Under Water Challenge,2018-08-24T22:09:00Z,3575999,105494,145626850,911,2644,0.025,0.0007
"Attempting The Impossible Maze - $10,000 Challenge",2018-08-15T21:08:59Z,1009112,32151,57101252,1187,2653,0.018,0.0006
"Donating $100,000 To A Random Fortnite Streamer",2018-08-05T22:00:00Z,1112180,50339,53499176,1377,2663,0.021,0.0009
Moving 10 Pounds Using ONLY Sound,2018-08-02T21:09:00Z,1211081,49743,45845027,826,2666,0.026,0.0011
Returning Destroyed Rental Cars Prank,2018-07-27T21:09:00Z,621818,17390,37422150,630,2672,0.017,0.0005
"I Gave My 6,000,000th Subscriber 6,000,000 ____",2018-07-25T21:11:00Z,394626,32046,17741922,1113,2674,0.022,0.0018
"Can 1,000 Fans At Max Speed Push A Car?",2018-07-17T21:41:02Z,620727,36609,28818876,713,2682,0.022,0.0013
"I Donated $50,000 To Ninja - Fortnite",2018-07-14T21:06:00Z,2144845,59415,98504145,1286,2685,0.022,0.0006
I Ubered Random People In A Tank,2018-07-11T21:16:00Z,863711,43097,30233053,604,2688,0.029,0.0014
World's Hottest Substance Vs Coldest Substance,2018-06-30T21:09:00Z,1779661,53749,96890364,712,2699,0.018,0.0006
The Real Way Dinosaurs Went Extinct,2018-06-28T21:12:01Z,806343,43517,29599899,351,2701,0.027,0.0015
I Donated $1000 Every Time She Blinked - Fortnite Streamers,2018-06-24T21:10:00Z,640080,24506,21872740,946,2705,0.029,0.0011
Do Water Repellent Shoes Actually Work?,2018-06-22T22:11:00Z,2001544,63821,132285262,698,2707,0.015,0.0005
"We Drove 3,000 Miles For The World's Best Burger",2018-06-09T21:13:59Z,1222780,93753,54987740,829,2720,0.022,0.0017
"I Gave My 5,000,000th Subscriber 5,000,000 ______",2018-06-08T22:36:59Z,292866,18951,11357753,691,2721,0.026,0.0017
I Made Money Grow On Trees,2018-06-01T22:09:00Z,430855,35954,17378871,634,2728,0.025,0.0021
I Took Apart My Friends Car And Put It In His Room,2018-05-25T22:41:59Z,315820,12085,15910765,616,2735,0.02,0.0008
How Many Rubber Bands Does It Take To Snap A Safe?,2018-05-22T22:14:01Z,912980,44101,37405500,616,2738,0.024,0.0012
Pulling Cars Over Using A Toy Police Car,2018-05-13T21:10:01Z,542897,18452,24777193,797,2747,0.022,0.0007
"I Gave $500,000 To Random People",2018-05-11T22:40:59Z,453122,30586,15231426,903,2749,0.03,0.002
